cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
FULL,0.5422,0.9774,10.0,13269,17,560,1.0554839372634888,1.014271855354309,0.0,-66.88668060302734,53.076
FEAT,0.5422,0.9774,10.0,3349,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,13.396
FEAT_A8,0.5422,0.9774,10.0,1525,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,6.1
EKF,0.5422,0.9774,10.0,1790,0,560,1.0554839372634888,1.014271855354309,0.0,0.2251519113779068,7.16
EKF_P,0.5422,0.9774,10.0,1213,0,560,1.0554839372634888,1.014271855354309,0.0,0.2260778397321701,4.852
REFF,0.8741,0.9342,10.0,799,0,560,1.282388687133789,1.0874180793762207,0.01968204975128174,0.0,3.196
TRIM,0.8741,0.9342,10.0,1671,0,560,1.282388687133789,1.0874180793762207,0.0,0.0,6.684
SOLVE,0.8741,0.9342,10.0,11380,17,560,1.282388687133789,1.0874180793762207,0.0,-60.33596420288086,45.52
FULL,0.8741,0.9342,10.0,13037,17,560,1.282388687133789,1.0874180793762207,0.0,-60.33596420288086,52.148
FEAT,0.8741,0.9342,10.0,3330,0,560,1.282388687133789,1.0874180793762207,0.0,0.0,13.32
FEAT_A8,0.8741,0.9342,10.0,1500,0,560,1.282388687133789,1.0874180793762207,0.0,0.0,6.0
EKF,0.8741,0.9342,10.0,1803,0,560,1.282388687133789,1.0874180793762207,0.0,0.22595661878585815,7.212
EKF_P,0.8741,0.9342,10.0,1259,0,560,1.282388687133789,1.0874180793762207,0.0,0.22688254714012146,5.036
REFF,0.622,0.9007,10.0,775,0,560,1.1862175464630127,1.0548051595687866,0.02011554315686226,0.0,3.1
TRIM,0.622,0.9007,10.0,1643,0,560,1.1862175464630127,1.0548051595687866,0.0,0.0,6.572
SOLVE,0.622,0.9007,10.0,11598,18,560,1.1862175464630127,1.0548051595687866,0.0,-73.42039489746094,46.392
FULL,0.622,0.9007,10.0,13215,18,560,1.1862175464630127,1.0548051595687866,0.0,-73.42039489746094,52.86
FEAT,0.622,0.9007,10.0,3310,0,560,1.1862175464630127,1.0548051595687866,0.0,0.0,13.24
FEAT_A8,0.622,0.9007,10.0,1499,0,560,1.1862175464630127,1.0548051595687866,0.0,0.0,5.996
EKF,0.622,0.9007,10.0,1763,0,560,1.1862175464630127,1.0548051595687866,0.0,0.22978925704956055,7.052
EKF_P,0.622,0.9007,10.0,1208,0,560,1.1862175464630127,1.0548051595687866,0.0,0.23071518540382385,4.832
REFF,0.2457,0.942,10.0,775,0,560,1.0002093315124512,0.997137725353241,0.015363016165792942,0.0,3.1
TRIM,0.2457,0.942,10.0,1624,0,560,1.0002093315124512,0.997137725353241,0.0,0.0,6.496
SOLVE,0.2457,0.942,10.0,10970,17,560,1.0002093315124512,0.997137725353241,0.0,-59.90928649902344,43.88
FULL,0.2457,0.942,10.0,12574,17,560,1.0002093315124512,0.997137725353241,0.0,-59.90928649902344,50.296
FEAT,0.2457,0.942,10.0,3294,0,560,1.0002093315124512,0.997137725353241,0.0,0.0,13.176
FEAT_A8,0.2457,0.942,10.0,1483,0,560,1.0002093315124512,0.997137725353241,0.0,0.0,5.932
EKF,0.2457,0.942,10.0,1733,0,560,1.0002093315124512,0.997137725353241,0.0,0.2297496795654297,6.932
EKF_P,0.2457,0.942,10.0,1189,0,560,1.0002093315124512,0.997137725353241,0.0,0.230675607919693,4.756
REFF,0.8958,0.9297,2.0,757,0,560,1.0121896266937256,1.0008900165557861,0.01333455927670002,0.0,3.028
TRIM,0.8958,0.9297,2.0,1621,0,560,1.0121896266937256,1.0008900165557861,0.0,0.0,6.484
SOLVE,0.8958,0.9297,2.0,10956,18,560,1.0121896266937256,1.0008900165557861,0.0,-87.2142105102539,43.824
