cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
FEAT,0.6716,0.8231,2.0,3211,0,640,1.018308401107788,1.0061709880828857,0.0,0.0,12.844
EKF,0.6716,0.8231,2.0,1984,0,640,1.018308401107788,1.0061709880828857,0.0,0.2232765108346939,7.936
EKF_P,0.6716,0.8231,2.0,1328,0,640,1.018308401107788,1.0061709880828857,0.0,0.22420243918895721,5.312
REFF,0.5222,0.8667,2.0,724,0,640,1.0956966876983643,1.0298577547073364,0.015532100573182106,0.0,2.896
TRIM,0.5222,0.8667,2.0,1677,0,640,1.0956966876983643,1.0298577547073364,0.0,0.0,6.708
SOLVE,0.5222,0.8667,2.0,11837,18,640,1.0956966876983643,1.0298577547073364,0.0,-85.32164764404297,47.348
FULL,0.5222,0.8667,2.0,13449,18,640,1.0956966876983643,1.0298577547073364,0.0,-85.32164764404297,53.796
FEAT,0.5222,0.8667,2.0,3218,0,640,1.0956966876983643,1.0298577547073364,0.0,0.0,12.872
EKF,0.5222,0.8667,2.0,1972,0,640,1.0956966876983643,1.0298577547073364,0.0,0.22957149147987366,7.888
EKF_P,0.5222,0.8667,2.0,1321,0,640,1.0956966876983643,1.0298577547073364,0.0,0.23049741983413696,5.284
REFF,0.6051,0.7954,2.0,710,0,640,1.0321117639541626,1.0098625421524048,0.020415566861629486,0.0,2.84
TRIM,0.6051,0.7954,2.0,1628,0,640,1.0321117639541626,1.0098625421524048,0.0,0.0,6.512
SOLVE,0.6051,0.7954,2.0,11189,17,640,1.0321117639541626,1.0098625421524048,0.0,-69.73458862304688,44.756
FULL,0.6051,0.7954,2.0,12757,17,640,1.0321117639541626,1.0098625421524048,0.0,-69.73458862304688,51.028
FEAT,0.6051,0.7954,2.0,3206,0,640,1.0321117639541626,1.0098625421524048,0.0,0.0,12.824
EKF,0.6051,0.7954,2.0,1991,0,640,1.0321117639541626,1.0098625421524048,0.0,0.24285048246383667,7.964
EKF_P,0.6051,0.7954,2.0,1328,0,640,1.0321117639541626,1.0098625421524048,0.0,0.24377641081809998,5.312
REFF,0.5422,0.9774,2.0,704,0,640,0.989274799823761,0.9976913332939148,0.010714329779148102,0.0,2.816
TRIM,0.5422,0.9774,2.0,1634,0,640,0.989274799823761,0.9976913332939148,0.0,0.0,6.536
SOLVE,0.5422,0.9774,2.0,11830,18,640,0.989274799823761,0.9976913332939148,0.0,-88.45174407958984,47.32
FULL,0.5422,0.9774,2.0,13411,18,640,0.989274799823761,0.9976913332939148,0.0,-88.45174407958984,53.644
FEAT,0.5422,0.9774,2.0,3190,0,640,0.989274799823761,0.9976913332939148,0.0,0.0,12.76
EKF,0.5422,0.9774,2.0,1987,0,640,0.989274799823761,0.9976913332939148,0.0,0.23525653779506683,7.948
EKF_P,0.5422,0.9774,2.0,1310,0,640,0.989274799823761,0.9976913332939148,0.0,0.23618246614933014,5.24
REFF,0.7606,0.8607,10.0,778,0,640,1.048250436782837,1.012304663658142,0.021210577338933945,0.0,3.112
TRIM,0.7606,0.8607,10.0,1620,0,640,1.048250436782837,1.012304663658142,0.0,0.0,6.48
SOLVE,0.7606,0.8607,10.0,12042,17,640,1.048250436782837,1.012304663658142,0.0,-67.42875671386719,48.168
FULL,0.7606,0.8607,10.0,13571,17,640,1.048250436782837,1.012304663658142,0.0,-67.42875671386719,54.284
