fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,1220,0.8650,25,0.500,93.66,92.68,90.77,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.500,85.10,87.30,84.74,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.400,90.75,87.40,85.25,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.400,81.17,80.62,77.73,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.300,86.80,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.300,64.89,56.43,51.95,1.1491,1.0436,voltage
BOOST,discharge,1220,0.8650,25,0.200,73.19,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.200,34.14,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.150,51.21,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.150,21.90,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.100,31.57,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.100,14.48,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.050,19.95,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.050,9.81,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.020,14.25,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.020,6.89,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.005,11.73,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,0.005,5.71,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1333,0.8528,25,1.000,103.16,,,1.1501,1.0439,out-of-hull
BOOST,discharge,1333,0.8528,10,1.000,93.99,,,1.1501,1.0439,out-of-hull
BOOST,discharge,1333,0.8528,25,0.950,102.80,102.98,100.59,1.1501,1.0439,current
BOOST,discharge,1333,0.8528,10,0.950,93.85,95.90,92.63,1.1501,1.0439,current
BOOST,discharge,1333,0.8528,25,0.900,102.28,101.95,99.61,1.1501,1.0439,current
BOOST,discharge,1333,0.8528,10,0.900,93.47,95.61,92.53,1.1501,1.0439,current
BOOST,discharge,1333,0.8528,25,0.800,100.65,99.76,97.61,1.1501,1.0439,current
BOOST,discharge,1333,0.8528,10,0.800,92.22,93.70,90.82,1.1501,1.0439,current
