cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,40,0.99362,2.95442,0.4076,discharge,3,-33.98,3.6499,802.0,101,8.4258,0.6228,0.696,5.0523,8.8902,0.3445
CC,40,0.99362,2.95442,0.4081,charge,3,29.55,3.6564,385.3,101,8.3045,0.6603,0.6903,5.3349,12.9653,0.2843
CC,40,0.99362,2.95442,0.3094,discharge,0,-2.958,3.5905,5618.8,101,8.6611,0.6265,1.1739,8.8881,16.609,0.111
CC,40,0.99362,2.95442,0.3094,charge,0,1.475,3.5916,70.5,101,8.5438,0.3898,0.2329,6.1684,10.0494,0.0846
CC,40,0.99362,2.95442,0.3093,discharge,1,-11.821,3.5906,635.5,101,8.5438,0.5035,0.553,6.8073,10.8605,0.1679
CC,40,0.99362,2.95442,0.3094,charge,1,5.91,3.5934,160.3,101,8.5088,0.4504,0.5477,5.9974,10.0525,0.1
CC,40,0.99362,2.95442,0.3092,discharge,2,-23.64,3.5903,680.9,101,8.5396,0.5755,0.7335,5.7026,9.5365,0.2561
CC,40,0.99362,2.95442,0.3096,charge,2,17.728,3.5955,280.5,101,8.4319,0.5781,0.7133,4.4441,8.6727,0.1946
CC,40,0.99362,2.95442,0.3091,discharge,3,-33.984,3.59,801.9,101,8.484,0.5736,0.6537,5.4496,9.392,0.3138
CC,40,0.99362,2.95442,0.3096,charge,3,29.548,3.5974,385.2,100,8.3431,0.6144,0.71,4.4753,10.3197,0.2836
CC,40,0.99362,2.95442,0.2109,discharge,0,-2.956,3.5024,5618.3,100,9.0086,0.5393,0.8954,8.6237,13.0602,0.1103
CC,40,0.99362,2.95442,0.2109,charge,0,1.475,3.504,70.5,101,8.5989,0.7533,0.3961,7.9158,12.3703,0.118
CC,40,0.99362,2.95442,0.2108,discharge,1,-11.82,3.5028,635.6,100,8.923,0.7233,0.8105,7.8274,13.6069,0.1373
CC,40,0.99362,2.95442,0.211,charge,1,5.91,3.51,160.3,101,8.8509,0.5957,0.7155,6.8278,12.0023,0.1029
CC,40,0.99362,2.95442,0.2107,discharge,2,-23.641,3.5061,681.0,100,8.8935,0.4503,0.5159,6.4027,8.663,0.3263
CC,40,0.99362,2.95442,0.211,charge,2,17.729,3.5146,280.4,101,8.7279,0.4348,0.4862,6.9104,12.1438,0.1601
CC,40,0.99362,2.95442,0.2106,discharge,3,-33.982,3.5061,801.7,101,8.8846,0.5432,0.7308,6.9398,10.7295,0.4902
CC,40,0.99362,2.95442,0.2112,charge,3,29.55,3.5164,385.3,100,8.6319,0.3775,0.4209,5.1788,8.4141,0.2296
CC,40,0.99362,2.95442,0.1616,discharge,0,-2.958,3.4426,5075.9,101,9.1827,0.6793,0.7077,8.9352,11.9217,0.089
CC,40,0.99362,2.95442,0.1617,charge,0,1.475,3.4442,70.5,101,8.8304,0.7753,0.2478,7.8162,10.5914,0.1047
CC,40,0.99362,2.95442,0.1615,discharge,1,-11.82,3.4431,635.5,101,9.2076,0.7028,0.7309,6.446,9.2933,0.1876
CC,40,0.99362,2.95442,0.1617,charge,1,5.91,3.448,160.4,101,9.0511,0.5453,0.589,8.4764,13.7038,0.1277
CC,40,0.99362,2.95442,0.1614,discharge,2,-23.642,3.4441,680.9,101,9.1694,0.8565,0.912,9.9696,17.5407,0.3788
CC,40,0.99362,2.95442,0.1618,charge,2,17.729,3.4509,280.5,101,8.9302,0.4675,0.6779,7.6187,12.6047,0.177
CC,40,0.99362,2.95442,0.1614,discharge,3,-33.982,3.4429,801.8,101,9.0846,0.7996,0.6682,200.0,381.8063,0.7955
CC,40,0.99362,2.95442,0.1619,charge,3,29.552,3.453,385.4,101,8.8168,0.4334,0.6429,6.3077,10.3401,0.2576
CC,40,0.99362,2.95442,0.1123,discharge,0,-2.958,3.4032,5075.7,101,9.5388,0.5705,0.4157,10.1217,9.8487,0.0805
CC,40,0.99362,2.95442,0.1124,charge,0,1.475,3.4054,70.5,100,9.6174,1.1095,1.3002,8.8515,14.6925,0.0865
