cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,370,0.9527,0.79,4.01776,4.0025,4.03302,30.52
CC,370,0.9527,0.8,4.02994,4.0148,4.04509,30.29
CC,370,0.9527,0.81,4.04118,4.0262,4.05616,29.96
CC,370,0.9527,0.82,4.05153,4.0366,4.06646,29.86
CC,370,0.9527,0.83,4.06065,4.0464,4.07489,28.49
CC,370,0.9527,0.84,4.06766,4.0547,4.08063,25.93
CC,370,0.9527,0.85,4.07288,4.0616,4.08416,22.56
CC,370,0.9527,0.86,4.07668,4.0664,4.08696,20.56
CC,370,0.9527,0.87,4.07922,4.0692,4.08923,20.03
CC,370,0.9527,0.88,4.0818,4.0718,4.0918,20.0
CC,370,0.9527,0.89,4.08408,4.0738,4.09436,20.56
CC,370,0.9527,0.9,4.0868,4.0761,4.0975,21.4
CC,370,0.9527,0.91,4.08993,4.0789,4.10096,22.06
CC,370,0.9527,0.92,4.09326,4.0816,4.10493,23.33
CC,370,0.9527,0.93,4.09771,4.0853,4.11013,24.83
CC,370,0.9527,0.94,4.10293,4.0896,4.11626,26.66
CC,370,0.9527,0.95,4.10974,4.0953,4.12419,28.89
CC,370,0.9527,0.96,4.11864,4.1029,4.13439,31.49
CC,370,0.9527,0.97,4.13019,4.1133,4.14708,33.78
CC,370,0.9527,0.98,4.14559,4.1273,4.16388,36.58
CC,370,0.9527,0.99,4.16595,4.1472,4.18471,37.51
CC,445,0.94476,0.05,3.0132,2.93792,3.08848,150.55
CC,445,0.94476,0.06,3.1393,3.0806,3.198,117.39
CC,445,0.94476,0.07,3.22501,3.17499,3.27503,100.03
CC,445,0.94476,0.08,3.2885,3.24346,3.33353,90.07
CC,445,0.94476,0.09,3.33361,3.29181,3.3754,83.6
CC,445,0.94476,0.1,3.36018,3.32672,3.39363,66.91
CC,445,0.94476,0.11,3.37834,3.35189,3.40478,52.89
CC,445,0.94476,0.12,3.39188,3.36946,3.4143,44.84
CC,445,0.94476,0.13,3.40261,3.38272,3.4225,39.78
CC,445,0.94476,0.14,3.41189,3.3933,3.43048,37.19
CC,445,0.94476,0.15,3.42026,3.4025,3.43803,35.53
CC,445,0.94476,0.16,3.42864,3.41118,3.4461,34.92
CC,445,0.94476,0.17,3.43724,3.4195,3.45499,35.49
CC,445,0.94476,0.18,3.44665,3.42862,3.46469,36.07
CC,445,0.94476,0.19,3.45781,3.4398,3.47583,36.04
CC,445,0.94476,0.2,3.46995,3.45222,3.48768,35.46
CC,445,0.94476,0.21,3.4822,3.46453,3.49986,35.33
CC,445,0.94476,0.22,3.49412,3.47608,3.51217,36.09
CC,445,0.94476,0.23,3.50558,3.48717,3.52398,36.81
CC,445,0.94476,0.24,3.51678,3.49769,3.53587,38.18
CC,445,0.94476,0.25,3.52771,3.50796,3.54747,39.52
CC,445,0.94476,0.26,3.53773,3.51757,3.5579,40.33
CC,445,0.94476,0.27,3.54792,3.52736,3.56849,41.13
CC,445,0.94476,0.28,3.55738,3.53666,3.5781,41.44
CC,445,0.94476,0.29,3.56635,3.54597,3.58673,40.75
CC,445,0.94476,0.3,3.57493,3.55515,3.59472,39.57
CC,445,0.94476,0.31,3.58294,3.56366,3.60223,38.57
