cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.1242,discharge,-28.798,2.0,2.0,26.18,300.0,3.4114,3.0601,12.1986,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.798,10.0,9.0,26.18,300.0,3.4114,2.8229,20.4351,2.9103,1.0
RPC_CC,1,0.0477,discharge,-15.711,2.0,1.0,26.29,300.0,3.1812,2.8854,18.8276,2.9103,1.0
RPC_CC,1,0.0336,discharge,-9.583,2.0,2.0,26.07,300.0,3.0206,2.7511,28.124,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.797,2.0,2.0,25.57,1452.3,4.1851,3.8296,11.9307,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.797,10.0,9.0,25.57,1452.3,4.1851,3.7595,14.2833,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.843,2.0,2.0,25.91,300.0,4.1044,3.7785,10.9205,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.843,10.0,9.0,25.91,300.0,4.1044,3.7293,12.5691,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,2.0,2.0,26.02,300.0,4.0822,3.7646,10.6554,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,10.0,9.0,26.02,300.0,4.0822,3.7092,12.514,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.727,2.0,2.0,25.91,300.0,4.0315,3.7011,11.1145,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.727,10.0,9.0,25.91,300.0,4.0315,3.6247,13.6845,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.763,2.0,2.0,25.99,300.0,3.9243,3.6014,10.849,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.763,10.0,9.0,25.99,300.0,3.9243,3.5381,12.9758,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.745,2.0,2.0,25.98,300.0,3.8306,3.5218,10.3816,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.745,10.0,9.0,25.98,300.0,3.8306,3.4555,12.6105,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.707,2.0,2.0,25.85,300.0,3.7378,3.4259,10.499,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.707,10.0,9.0,25.85,300.0,3.7378,3.3499,13.0573,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.698,2.0,2.0,25.79,300.0,3.655,3.3444,10.4586,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.698,10.0,9.01,25.79,300.0,3.655,3.267,13.0649,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.671,2.0,2.0,25.85,300.0,3.5942,3.2815,10.5389,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.671,10.0,9.0,25.85,300.0,3.5942,3.1997,13.2958,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.688,2.0,2.0,26.05,300.0,3.5104,3.1884,10.8463,2.9103,1.0
