cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,262,0.95475,2.86005,0.6188,5,2.0,charge,3.8469,4.2,4,-28.595,33.304,33.785,0.482,1.165,0.99934
BOOST,262,0.95475,2.86005,0.6188,5,10.0,charge,3.8469,4.2,4,-28.595,27.968,28.557,0.589,0.978,0.99609
BOOST,262,0.95475,2.86005,0.5235,6,2.0,charge,3.7361,4.2,4,-28.594,44.221,44.695,0.473,1.547,0.99984
BOOST,262,0.95475,2.86005,0.5235,6,10.0,charge,3.7361,4.2,4,-28.594,35.113,35.479,0.366,1.228,0.99971
BOOST,262,0.95475,2.86005,0.4281,7,2.0,charge,3.6545,4.2,4,-28.596,52.639,53.53,0.891,1.841,0.99975
BOOST,262,0.95475,2.86005,0.4281,7,10.0,charge,3.6545,4.2,4,-28.596,42.863,43.296,0.433,1.499,0.99974
BOOST,262,0.95475,2.86005,0.3328,8,2.0,charge,3.5934,4.2,4,-28.596,58.182,59.655,1.474,2.035,0.99962
BOOST,262,0.95475,2.86005,0.3328,8,10.0,charge,3.5934,4.2,4,-28.596,47.772,48.827,1.055,1.671,0.99943
BOOST,262,0.95475,2.86005,0.2375,9,2.0,charge,3.5107,4.2,4,-28.596,62.88,64.564,1.684,2.199,0.99946
BOOST,262,0.95475,2.86005,0.2375,9,10.0,charge,3.5107,4.2,4,-28.596,50.571,52.697,2.125,1.768,0.99871
BOOST,262,0.95475,2.86005,0.1898,10,2.0,charge,3.4554,4.2,4,-28.595,65.971,67.949,1.978,2.307,0.99942
BOOST,262,0.95475,2.86005,0.1898,10,10.0,charge,3.4554,4.2,4,-28.595,52.199,54.096,1.897,1.825,0.99902
BOOST,262,0.95475,2.86005,0.1421,11,2.0,charge,3.4123,4.2,4,-28.597,69.887,73.866,3.979,2.444,0.9981
