temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
40,40.08,10.0,1.0,discharge,-30.0,2258.1,4.1878,3.7879,13.33
40,39.86,10.0,1.0021,discharge,-29.866,20.2,4.1909,3.7933,13.3128
40,40.37,10.0,0.9572,charge,4.998,20.2,4.1044,4.1657,12.2652
40,40.39,10.0,0.9567,discharge,-29.922,20.2,4.1015,3.7645,11.2626
40,40.26,10.0,0.9117,charge,5.0,20.2,4.084,4.1381,10.8196
40,40.81,10.0,0.9112,discharge,-29.852,20.2,4.081,3.7437,11.2991
40,40.44,10.0,0.9139,charge,1.841,20.2,4.085,4.1037,10.1586
40,39.94,10.0,0.8663,charge,4.999,20.2,4.0722,4.1258,10.723
40,39.83,10.0,0.8659,discharge,-29.814,20.2,4.0689,3.7093,12.0614
40,40.33,10.0,0.8686,charge,2.991,20.2,4.0738,4.1055,10.5974
40,40.39,10.0,0.821,charge,4.998,20.2,4.0263,4.0853,11.8045
40,40.48,10.0,0.8205,discharge,-29.862,20.2,4.0228,3.6585,12.1995
40,40.11,10.0,0.8232,charge,4.998,20.2,4.0285,4.0868,11.6643
40,39.89,10.0,0.7754,charge,4.998,20.2,3.9674,4.0251,11.5446
40,39.91,10.0,0.775,discharge,-29.894,20.2,3.964,3.6143,11.698
40,39.96,10.0,0.7776,charge,4.997,20.2,3.9686,4.0252,11.3277
40,40.64,10.0,0.7299,charge,5.0,20.2,3.9245,3.9784,10.7802
40,40.21,10.0,0.7294,discharge,-29.913,20.2,3.9209,3.5791,11.4265
40,40.83,10.0,0.7321,charge,4.995,20.2,3.9257,3.9797,10.8106
40,40.65,10.0,0.6845,charge,5.0,20.2,3.8913,3.9465,11.0407
40,40.22,10.0,0.684,discharge,-29.955,20.2,3.8874,3.5405,11.5807
40,40.32,10.0,0.6867,charge,4.995,20.2,3.893,3.9473,10.872
40,40.28,10.0,0.6388,charge,4.999,20.2,3.8309,3.8915,12.1219
40,40.09,10.0,0.6383,discharge,-29.904,20.2,3.825,3.4915,11.1524
40,40.45,10.0,0.641,charge,4.99,20.2,3.8343,3.8942,12.0035
40,40.68,10.0,0.5935,charge,4.999,20.2,3.7762,3.8324,11.2416
40,40.53,10.0,0.593,discharge,-29.821,20.2,3.7721,3.4336,11.3511
40,40.56,10.0,0.5957,charge,4.998,20.2,3.7774,3.8332,11.1636
40,40.38,10.0,0.548,charge,4.999,20.2,3.7261,3.7831,11.4018
40,39.95,10.0,0.5475,discharge,-29.872,20.2,3.7226,3.3785,11.5191
40,40.19,10.0,0.5502,charge,4.997,20.2,3.7278,3.7843,11.307
40,40.38,10.0,0.5025,charge,5.001,20.2,3.6823,3.738,11.1373
40,40.44,10.0,0.502,discharge,-29.841,20.2,3.6777,3.3346,11.4976
40,40.45,10.0,0.5047,charge,4.997,20.2,3.6842,3.7402,11.2072
40,40.28,10.0,0.4571,charge,5.0,20.2,3.646,3.7021,11.2211
40,40.61,10.0,0.4566,discharge,-29.906,20.2,3.6414,3.2973,11.5061
40,40.53,10.0,0.4594,charge,4.994,20.2,3.6494,3.7048,11.0942
40,40.41,10.0,0.4115,charge,4.998,20.2,3.6124,3.6691,11.3434
40,40.4,10.0,0.411,discharge,-29.892,20.2,3.6081,3.2609,11.6151
40,40.68,10.0,0.4137,charge,4.993,20.2,3.6171,3.673,11.195
40,40.23,10.0,0.3661,charge,5.001,20.2,3.5783,3.6356,11.4584
40,40.21,10.0,0.3656,discharge,-29.9,20.2,3.573,3.2192,11.8328
40,40.89,10.0,0.3683,charge,4.991,20.2,3.5806,3.6375,11.4014
40,40.3,10.0,0.3202,charge,4.999,20.2,3.5362,3.5951,11.7821
40,40.74,10.0,0.3197,discharge,-27.767,20.2,3.5314,3.194,12.1511
40,40.25,10.0,0.3222,charge,4.994,20.2,3.5387,3.5977,11.8137
40,40.04,10.0,0.2728,charge,5.002,20.2,3.479,3.5401,12.2163
40,40.06,10.0,0.2724,discharge,-22.082,20.2,3.4744,3.1987,12.4853
40,40.03,10.0,0.2744,charge,4.994,20.2,3.4806,3.5419,12.2757
40,40.08,10.0,0.2245,charge,4.999,20.2,3.419,3.4781,11.8231
40,40.4,10.0,0.224,discharge,-15.222,20.2,3.414,3.2051,13.7236
40,40.72,10.0,0.2254,charge,4.993,20.2,3.4215,3.48,11.7157
40,40.22,10.0,0.175,charge,4.999,20.2,3.3749,3.4447,13.9625
40,40.35,10.0,0.1745,discharge,-8.357,20.2,3.3705,3.2151,18.5943
40,40.31,10.0,0.1753,charge,4.993,20.2,3.3788,3.4476,13.7796
40,40.21,10.0,0.1271,charge,4.999,20.3,3.1738,3.2936,23.9643
40,40.01,10.0,0.1237,charge,4.999,20.2,3.1564,3.2782,24.3634
40,40.0,10.0,0.0979,charge,4.821,33.0,2.6014,2.9406,70.3661
40,40.29,10.0,0.1002,charge,4.818,26.0,2.6018,2.9473,71.7095
40,40.43,10.0,0.1042,charge,4.816,32.0,2.6014,2.9465,71.6622
-10,-8.1,10.0,1.0,discharge,-22.747,3562.1,4.1814,3.2,43.1442
-10,-8.01,10.0,1.0008,discharge,-23.034,20.2,4.1932,3.1906,43.527
-10,-7.71,10.0,1.0028,discharge,-2.325,31.3,4.1484,3.9516,84.6324
-10,-7.79,10.0,0.9544,charge,2.318,20.2,4.0905,4.2002,47.3171
-10,-7.89,10.0,0.9543,discharge,-24.982,20.2,4.0801,3.2765,32.1672
-10,-7.91,10.0,0.9565,discharge,-27.694,20.2,4.0884,3.2474,30.3676
-10,-8.46,10.0,0.9591,discharge,-29.261,20.3,4.1013,3.2631,28.6456
-10,-7.99,10.0,0.9617,discharge,-29.581,20.3,4.1044,3.2837,27.7442
-10,-8.34,10.0,0.9163,charge,3.334,20.2,4.0752,4.1996,37.3069
-10,-7.72,10.0,0.9161,discharge,-27.006,20.2,4.0645,3.246,30.3081
-10,-8.06,10.0,0.9185,discharge,-29.025,20.2,4.0744,3.2274,29.1817
-10,-8.4,10.0,0.9211,discharge,-29.311,20.3,4.0865,3.272,27.7882
-10,-7.79,10.0,0.9237,discharge,-29.529,20.3,4.0881,3.2898,27.0344
-10,-7.9,10.0,0.8781,charge,4.84,20.2,4.0332,4.2001,34.4863
-10,-8.33,10.0,0.8777,discharge,-26.406,20.2,4.0194,3.2267,30.0197
-10,-8.68,10.0,0.8801,charge,2.196,20.2,4.0502,4.129,35.8883
-10,-8.06,10.0,0.8799,discharge,-28.503,20.2,4.0391,3.2037,29.3092
-10,-8.66,10.0,0.8824,charge,1.7,20.2,4.0595,4.1183,34.5984
-10,-8.77,10.0,0.8338,charge,4.998,20.2,3.9662,4.1484,36.456
-10,-8.53,10.0,0.8334,discharge,-24.306,20.2,3.953,3.2243,29.9803
-10,-8.77,10.0,0.8356,charge,4.105,20.2,3.9851,4.1318,35.7343
-10,-7.89,10.0,0.8352,discharge,-26.484,20.2,3.9704,3.1963,29.229
-10,-7.89,10.0,0.8375,charge,3.656,20.2,3.9985,4.1249,34.5714
-10,-7.87,10.0,0.8372,charge,3.362,20.3,3.9844,4.1128,38.1893
