cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_05.12_CC_protocol_halfC_CAP_(b1)_forexcel_cycle_#166.mat,CAP,166,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_08.15_CC_protocol_halfC_0.5C_dchg_(b2)_IN21700_30T_cycle_#167.mat,halfC,167,6962,0.0,24.48,25.5,25.4,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_08.15_CC_protocol_halfC_CAP_(b2)_forexcel_cycle_#167.mat,CAP,167,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_10.11_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#167.mat,other,167,1046,0.0,24.43,25.23,25.23,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_11.09_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#168_to_182.mat,drive,168,104859,0.0,24.27,26.05,26.1,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_10.36_CC_protocol_whole_Schedule_IN21700_30T_cycle_#183_week#6.mat,schedule,183,294588,0.0,22.93,25.94,25.94,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_11.05_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#183.mat,halfC,183,6921,0.0,24.41,25.21,25.43,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_11.05_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#183.mat,CAP,183,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_14.31_CC_protocol_halfC_0.5C_dchg_(a2)_IN21700_30T_cycle_#184.mat,halfC,184,6893,0.0,24.52,25.41,25.74,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_14.31_CC_protocol_halfC_CAP_(a2)_forexcel_cycle_#184.mat,CAP,184,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_16.41_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#184.mat,other,184,329,0.0,25.0,26.56,25.71,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_17.57_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#185.mat,other,185,3419,0.0,25.02,26.11,26.0,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_20.25_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#186.mat,other,186,1694,0.0,24.64,26.77,27.29,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-06-21_22.28_CC_protocol_HPPC_IN21700_30T_cycle_#187.mat,HPPC,187,35065,0.0,22.93,25.72,25.78,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-08-21_04.37_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#187.mat,other,187,1037,0.0,24.62,25.52,25.52,
